id,siglaPartido,siglaUf,idLegislatura,sexo
178860,DEM,BA,56,M
141516,PSDB,MG,56,M
171617,PT,AL,56,M
74160,PT,MG,56,M
204553,AVANTE,BA,56,M
204570,PL,MA,56,M
160642,PATRIOTA,PE,56,M
74319,PTB,PI,56,M
160556,PT,MG,56,M
204573,PSD,BA,56,M
204475,SOLIDARIEDADE,RR,56,M
204441,PSC,RJ,56,M
141515,PSDB,RJ,56,M
204422,REPUBLICANOS,PE,56,M
73692,MDB,RS,56,M
73463,PP,PR,56,M
204363,PSC,TO,56,M
178987,PCdoB,SP,56,M
74399,DEM,RS,56,M
204498,DEM,PA,56,M
178868,PSB,CE,56,M
74159,PT,MG,56,M
194260,PTB,AL,56,M
178986,PT,SP,56,M
74352,PSDB,PA,56,M
214445,PP,SC,56,M
204479,PSL,RR,56,M
204384,PSD,PR,56,M
178896,MDB,MG,56,M
74165,PSD,ES,56,M
146307,PP,MT,56,M
204415,PSL,RS,56,M
74571,PT,BA,56,M
204449,PSL,MT,56,M
178997,MDB,CE,56,M
178895,PSD,MG,56,M
154178,REPUBLICANOS,SP,56,M
92172,PSB,PE,56,M
178985,PL,SP,56,M
178984,PSDB,SP,56,M
188097,PT,PI,56,M
141508,PSB,RO,56,M
74749,MDB,MG,56,M
204486,PDT,CE,56,M
75431,PTB,RS,56,M
178843,PSD,AL,56,M
204566,PATRIOTA,MA,56,M
204403,PDT,RS,56,M
178858,PP,BA,56,M
74158,PDT,MG,56,M
159238,PSDB,MG,56,M
178943,DEM,RJ,56,M
204506,REPUBLICANOS,SP,56,M
204431,MDB,PI,56,M
160535,PT,RS,56,M
160536,PSDB,SC,56,M
204522,PSD,SP,56,M
150418,REPUBLICANOS,BA,56,M
204452,PSL,RJ,56,M
81055,PCdoB,MA,56,M
179001,MDB,RS,56,M
178983,PL,SP,56,M
204556,PL,AM,56,M
204558,PSB,BA,56,M
133810,PTB,RS,56,M
76874,PSB,RJ,56,M
204433,CIDADANIA,RJ,56,M
205863,PSL,RS,56,M
146788,PP,MG,56,M
179000,PSL,MG,56,M
156190,NOVO,RS,56,M
212749,PL,RJ,56,M
204469,REPUBLICANOS,AC,56,M
141490,PSC,PB,56,M
204418,REPUBLICANOS,PR,56,M
204526,PSL,SP,56,M
162332,PL,PR,56,M
204455,PSL,RJ,56,M
178982,PSDB,SP,56,M
204543,PSB,SP,56,M
204485,PL,SP,56,M
160645,PSDB,AP,56,M
204448,PL,RJ,56,M
160510,AVANTE,MG,56,M
204381,DEM,DF,56,M
178954,MDB,RO,56,M
178931,PSB,PR,56,M
74478,PSL,PE,56,M
178879,SOLIDARIEDADE,GO,56,M
204404,PSDB,RS,56,M
204523,NOVO,MG,56,M
196358,PSL,RJ,56,M
204382,PSL,MS,56,M
74585,PL,MG,56,M
92102,DEM,BA,56,M
74299,PDT,CE,56,M
74254,MDB,RJ,56,M
74156,PT,MG,56,M
122195,PSC,PB,56,M
204547,PSL,MG,56,M
204359,PODE,RO,56,M
178825,PT,AC,56,M
98057,REPUBLICANOS,MG,56,M
141478,PL,DF,56,M
151208,PP,SE,56,M
204536,DEM,SP,56,M
178886,DEM,MA,56,M
204550,PL,CE,56,M
204574,PL,MA,56,M
204497,PSD,PA,56,M
204520,PSL,MG,56,M
204457,DEM,RJ,56,M
74253,PP,RJ,56,M
73586,PSB,MG,56,M
204372,REPUBLICANOS,DF,56,M
74317,PSD,PI,56,M
204420,PSL,PB,56,M
204474,MDB,MT,56,M
215043,PODE,MA,56,M
204563,PL,MA,56,M
74141,PT,BA,56,M
209189,PT,BA,56,M
74554,PL,BA,56,M
204555,PT,AM,56,M
74079,MDB,PA,56,M
160619,PSD,BA,56,M
204391,PODE,GO,56,M
204472,PODE,MT,56,M
204386,DEM,GO,56,M
141470,PT,CE,56,M
141464,PT,CE,56,M
178857,PT,BA,56,M
214694,PL,SC,56,M
205550,REPUBLICANOS,RJ,56,M
217480,PSD,RJ,56,M
178910,PSD,PA,56,M
204576,REPUBLICANOS,BA,56,M
112437,MDB,MA,56,M
141459,PL,RN,56,M
204429,PSB,PE,56,M
178970,PT,SE,56,M
141458,PL,BA,56,M
74366,REPUBLICANOS,GO,56,M
160531,REPUBLICANOS,RR,56,M
178842,PSB,AL,56,M
204435,PDT,AC,56,M
160570,PP,RS,56,M
74273,PSB,SP,56,M
160672,PSOL,RJ,56,M
