cod,sigla,nome,descricao
1004,PRO,Proposta de Plano para Comissão,
1005,PRO,Proposta de Regulamento,
1006,RLG,Relatório Geral,
1007,QO,Questão de Ordem,
1008,APM,Complemento de Apoiamento,
1009,CFIS,"Relatório de Atividades do Comitê de Avaliação, Fiscalização e Controle de Execução Orçamentária",
1010,REQ,Requerimento para Alteração da Ordem dos Trabalhos,
1011,DTQ,Destaque de Emenda,
1012,DTQ,Destaque de Preferência,
1013,DTQ,Destaque para Proposição Autônoma,
