cod,sigla,nome,descricao
392,REQ,Requerimento de Urgência (Art. 155 do RICD),Urgência (Art. 155 do RICD)
393,REQ,Requerimento de Adiamento de discussão em regime de urgência,"Aditamento de discussão em regime de urgência nos termos do art. 177, §1º do RICD."
394,PDC,Projeto de Decreto Legislativo de Medida Provisória,"Medida Provisória (Art. 62, § 3º da CF)"
395,PDC,Projeto de Decreto Legislativo de Referendo ou Plebiscito,"Plebiscito (Art. 49, XV da CF c/c o art. 3º Lei 9.709/98)"
396,PDC,"Projeto de Decreto Legislativo de Concessão, Renovação e Permissão de Radio/TV","Concessão/Renovação de Radio/TV (Art. 49, XII c/c 223 da CF)"
397,PDC,"Projeto de Decreto Legislativo de Acordos, tratados ou atos internacionais","Acordos, tratados ou atos internacionais (Art. 49, I da CF)"
398,PDC,Projeto de Decreto Legislativo de Indicação de Autoridade ao TCU,"Indicação de Autoridade ao TCU (Art. 49, XIII da CF)"
400,PRC,Projeto de Resolução de Criação de CPI,Criação de CPI (Art. 35 do RICD)
401,MSC,Mensagem de Concessão ou Renovação de Rádio e TV ,"Concessão de Rádio e TV (Art. 49, XII c/c 223 CF)"
402,REC,"Recurso contra aplicação de censura verbal (Art. 11, Parágrafo único do CEDP)","Contra aplicação de censura verbal (Art. 11, Parágrafo único do CEDP)"
403,MSC,Mensagem de Comunica ausência do país,Comunica ausência do país
404,MSC,Mensagem de Cancelamento de Urgência,Cancelamento de Urgência
405,MSC,Mensagem de Retirada de proposição,Retirada de proposição
406,MSC,Mensagem de Solicitação de urgência ,Solicitação de urgência 
407,PDC,Projeto de Decreto Legislativo de Programação Monetária,Programação Monetária (Lei nº 9.069/95)
408,PDC,Projeto de Decreto Legislativo de Sustação de Atos Normativos do Poder Executivo,Susta atos normativos do Poder Executivo.
409,AV,Demonstrativo de emissão do real,Demonstrativo de emissão do real (Lei nº 9.069/95)
410,MSC,Mensagem de Indicação de Líder,Indicação de Líder
411,MSC,"Mensagem de Acordos, convênios, tratados e atos internacionais","Acordos, convênios, tratados e atos internacionais"
412,MSC,Mensagem de Restituição de Autógrafos,Restituição de Autógrafos
413,REQ,Requerimento de Retirada de proposição sem parecer,
414,MSC,Mensagem de ausência do país por mais de 15 dias ,"Mensagem de ausência do país por mais de 15 dias (Art. 49, III, CF)"
415,MSC,Mensagem de ausência do país por menos de 15 dias  ,"Mensagem de ausência do país por menos de 15 dias  (Art. 49, III, CF)"
417,TVR,Autorização - Rádio Comunitária,Autorização - Rádio Comunitária
418,TVR,Concessão - Rádio Ondas Curtas,Concessão - Rádio Ondas Curtas
419,TVR,Concessão - Rádio Ondas Médias,Concessão - Rádio Ondas Médias
420,TVR,Concessão Rádio Ondas Médias Educativa,Concessão Rádio Ondas Médias Educativa
421,TVR,Concessão Rádio Ondas Tropicais,Concessão Rádio Ondas Tropocais
422,TVR,Concessão Radiodifusão Sons e Imagens,Concessão Radiodifusão Sons e Imagens
423,TVR,Concessão TV Educativa,Concessão TV Educativa
424,TVR,Permissão Frequência Modulada Educativa,Permissão Frequência Modulada Educativa
425,TVR,Permissão Rádio Frequência Modulada,Permissão Rádio Frequência Modulada
426,TVR,Permissão Rádio Ondas Médias Local,Permissão Rádio Ondas Médias Local
427,TVR,Renovação Rádio Comunitária,Renovação Rádio Comunitária
428,TVR,Renovação Rádio Frequência Modulada,Renovação Rádio Frequência Modulada
429,TVR,Renovação Rádio Frequência Modulada Educativa,Renovação Rádio Frequência Modulada Educativa
430,TVR,Renovação Rádio Ondas Curtas,Renovação Rádio Ondas Curtas
431,TVR,Renovação Rádio Ondas Médias,Renovação Rádio Ondas Médias
432,TVR,Renovação Rádio Ondas Médias Local,Renovação Rádio Ondas Médias Local
433,TVR,Renovação Rádio Ondas Médias Educativa,Renovação Rádio Ondas Médias Educativa
434,TVR,Renovação Rádio Ondas Tropicais,Renovação  Rádio Ondas Tropicais
435,TVR,Renovação TV Sons e Imagens,Renovação TV Sons e Imagens
436,TVR,Renovação TV Educativa,Renovação TV Educativa
437,MSC,Mensagem de Cumprimento de meta,Cumprimento de meta
439,DCR,Denúncia por Crime de Responsabilidade,Denúncia por crime de responsabilidade
440,,J) NÃO PROPOSIÇÃO,Não Proposição
441,REQ,Requerimento de Moção,
442,PEP,Parecer às Emendas de Plenário,
