"id";"uri";"siglaTipo";"numero";"ano";"codTipo";"descricaoTipo";"ementa";"ementaDetalhada";"keywords";"dataApresentacao";"uriOrgaoNumerador";"uriPropAnterior";"uriPropPrincipal";"uriPropPosterior";"urlInteiroTeor";"urnFinal";"ultimoStatus_dataHora";"ultimoStatus_sequencia";"ultimoStatus_uriRelator";"ultimoStatus_idOrgao";"ultimoStatus_siglaOrgao";"ultimoStatus_uriOrgao";"ultimoStatus_regime";"ultimoStatus_descricaoTramitacao";"ultimoStatus_idTipoTramitacao";"ultimoStatus_descricaoSituacao";"ultimoStatus_idSituacao";"ultimoStatus_despacho";"ultimoStatus_url"
"17348";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/17348";"PL";"1884";"1974";"139";"Projeto de Lei";"ESTABELECE SUBSIDIOS PARA FERTILIZANTES APLICADOS NA AGROPECUARIA.";"";"CONCESSÃO, SUBSIDIOS, FERTILIZANTE, UTILIZAÇÃO, AGRICULTURA, AGROPECUARIA, (MAGR), TAXAS, EXPOTAÇÃO, PRODUTO EXPORTADO, PRODUTO RURAL.";"1974-03-21T00:00:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=37161";"";"1975-08-18T00:00:00";"22";"https://dadosabertos.camara.leg.br/api/v2/deputados/4873";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"Ordinária (Art. 151, III, RICD)";"Conferência Sinopse 2001";"700";"Arquivada";"923";"OF. SM 372/75, DO SF, COMUNICANDO A REJEIÇÃO DESTE PROJETO E RESTITUINDO AUTOGRAFO.";""
"159644";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/159644";"AV";"223";"1974";"495";"Aviso";"ENCAMINHA O PROCESSO DE TOMADA DE CONTAS DA REDE FERROVIARIA FEDERAL S/A. E SUAS SUBSIDIARIAS, RELATIVAS AO EXERCICIO DE 1973.";"";"SOLICITAÇÃO, CONGRESSO NACIONAL, APRECIAÇÃO, PRESTAÇÃO DE CONTAS, (RFFSA).";"1974-04-23T00:00:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"";"";"1976-08-19T00:00:00";"4";"";"";"";"";"Ordinária (Art. 151, III, RICD)";"Não Informado";"5";"";"";"TRANSFORMADO NO PDC 69/76.";""
"159823";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/159823";"INC";"10";"1974";"133";"Indicação";"SUGERE A COMISSÃO DE CONSTITUIÇÃO E JUSTIÇA QUE SE MANIFESTE SOBRE A CONVENIENCIA DA ELABORAÇÃO DE EMENDA CONSTITUCIONAL PROIBINDO O EXERCICIO DOS CARGOS DE PRESIDENTE E VICE-PRESIDENTE DA REPUBLICA E DE GOVERNADOR E VICE-GOVERNADOR DE ESTADO POR MAIORES DE 70 (SETENTA) ANOS DE IDADE.";"";"SUGESTÃO, MANIFESTAÇÃO, COMISSÃO DE CONSTITUIÇÃO E JUSTIÇA, ELABORAÇÃO, PROPOSTA, EMENDA CONSTITUCIONAL, PROIBIÇÃO, EXERCICIO, CARGO PUBLICO, MANDATO, PRESIDENTE DA REPUBLICA, VICE PRESIDENTE DA REPUBLICA, GOVERNADOR, VICE GOVERNADOR, LIMITE DE IDADE, VELHO.";"1974-08-06T00:00:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"";"";"1975-03-08T00:00:00";"7";"";"";"";"";"Ordinária (Art. 151, III, RICD)";"Não Informado";"5";"";"";"ARQUIVADO, NOS TERMOS DO ARTIGO 118 DO REGIMENTO. DC1S 08 03 75 PAG 0020 COL 01.";""
"159835";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/159835";"INC";"11";"1974";"133";"Indicação";"SUGERE QUE A COMISSÃO DE CONSTITUIÇÃO E JUSTIÇA PROMOVA ESTUDOS SOBRE O TEXTO DO ARTIGO 154 DA CONSTITUIÇÃO FEDERAL E O DISPOSITIVO CONSTANTE DA ALINEA ""N"", DO ARTIGO PRIMEIRO DA LEI COMPLEMENTAR NUMERO 05, QUE ESTABELECE OS CASOS DE INELEGIBILIDADE, AJUSTANDO-OS AO ORDENAMENTO MAIOR A QUE ESTA SUBMETIDO. (PERDA DO DIREITO ELEITORAL SOMENTE APOS DECLARAÇÃO DO SUPREMO TRIBUNAL FEDERAL DE ABUSO DE DIREITO INDIVIDUAL OU POLITICO).";"";"SUGESTÃO, COMISSÃO DE CONSTITUIÇÃO E JUSTIÇA, ESTUDO, TEXTO, CONSTITUIÇÃO FEDERAL, CRITERIOS, INELEGIBILIDADE, ELEIÇÕES, PERDA, DIREITOS POLITICOS, CASSAÇÃO, POSTERIORIDADE, DECLARAÇÃO, (STF), ABUSO DE DIREITO.";"1974-06-04T00:00:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"";"";"1975-03-08T00:00:00";"8";"";"";"";"";"Ordinária (Art. 151, III, RICD)";"Não Informado";"5";"";"";"ARQUIVADO (ART 292 DO REGIMENTO).";""
"159847";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/159847";"INC";"12";"1974";"133";"Indicação";"SUGERE QUE A COMISSÃO DE CONSTITUIÇÃO E JUSTIÇA SE PRONUNCIE SOBRE A CONVENIENCIA E OPORTUNIDADE DE SER ELABORADA EMENDA A CONSTITUIÇÃO VISANDO INSTITUIR O SISTEMA LEGISLATIVO UNICAMERAL.";"";"SUGESTÃO, COMISSÃO DE CONSTITUIÇÃO E JUSTIÇA, CONVENIENCIA, ELABORAÇÃO, PROPOSTA, EMENDA CONSTITUCIONAL, IMPLANTAÇÃO, SISTEMA, LEGISLATIVO.";"1974-06-20T00:00:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"";"";"1975-03-08T00:00:00";"8";"";"";"";"";"Ordinária (Art. 151, III, RICD)";"Não Informado";"5";"";"";"ARQUIVADO (ART 292 DO REGIMENTO).";""
"159858";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/159858";"INC";"13";"1974";"133";"Indicação";"SOLICITA O PRONUNCIAMENTO DA COMISSÃO DE CONSTITUIÇÃO E JUSTIÇA SOBRE A ELABORAÇÃO DE EMENDA CONSTITUCIONAL, VISANDO ALTERAR OS ARTIGOS 39 E 41 DA CONSTITUIÇÃO. (REDUZ A IDADE MINIMA PARA CANDIDATAR-SE AO SENADO FEDERAL E CAMARA DOS DEPUTADOS).";"";"SUGESTÃO, MANIFESTAÇÃO, COMISSÃO DE CONSTITUIÇÃO E JUSTIÇA, ELABORAÇÃO, PROPOSTA, EMENDA CONSTITUCIONAL, OBJETIVO, REDUÇÃO, LIMITE DE IDADE, CANDIDATO, ELEIÇÃO, SENADOR, DEPUTADO FEDERAL, ELEIÇÕES, SENADO, CAMARA DOS DEPUTADOS.";"1974-06-25T00:00:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"";"";"1975-03-08T00:00:00";"8";"";"";"";"";"Ordinária (Art. 151, III, RICD)";"Não Informado";"5";"";"";"ARQUIVADO (ART 292 DO REGIMENTO).";""
"159868";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/159868";"INC";"14";"1974";"133";"Indicação";"SUGERE A COMISSÃO DE TRABALHO E LEGISLAÇÃO SOCIAL A ELABORAÇÃO DE PROPOSIÇÃO LEGISLATIVA ADEQUADA TRANSFERINDO A JUSTIÇA DO TRABALHO O JULGAMENTO DAS QUESTÕES RELATIVAS A ACIDENTES DO TRABALHO.";"";"SUGESTÃO, (CTLS), ELABORAÇÃO, PROPOSIÇÃO, TRANSFERENCIA, JUSTIÇA DO TRABALHO, COMPETENCIA, JULGAMENTO, CAUSA JUDICIAL, RECLAMAÇÃO TRABALHISTA, LITIGIO, MOTIVO, ACIDENTE DO TRABALHO.";"1974-08-14T00:00:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"";"";"1975-03-08T00:00:00";"6";"";"";"";"";"Ordinária (Art. 151, III, RICD)";"Não Informado";"5";"";"";"ARQUIVADO (ART 117 DO REGIMENTO).";""
"159878";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/159878";"INC";"15";"1974";"133";"Indicação";"SUGERE QUE A COMISSÃO DE CONSTITUIÇÃO E JUSTIÇA EXAMINE A CONVENIENCIA E OPORTUNIDADE DE ELABORAÇÃO DE EMENDA CONSTITUCIONAL VERSANDO A MATERIA QUE ESPECIFICA E JUSTIFICA.";"";"SUGESTÃO, COMISSÃO DE CONSTITUIÇÃO E JUSTIÇA, CONVENIENCIA, EXAME, ELABORAÇÃO, PROPOSTA, EMENDA CONSTITUCIONAL, ESTABILIDADE, SERVIDOR, FUNCIONARIO PUBLICO, FUNCIONARIO INTERINO.";"1974-08-20T00:00:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"";"";"1975-03-08T00:00:00";"8";"";"";"";"";"Ordinária (Art. 151, III, RICD)";"Não Informado";"5";"";"";"ARQUIVADO (ART 292 DO REGIMENTO).";""
"159888";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/159888";"INC";"16";"1974";"133";"Indicação";"SOLICITA O PRONUNCIAMENTO DA COMISSÃO DE SERVIÇO PUBLICO SOBRE A ELABORAÇÃO DE PROJETO DE LEI QUE CONCEDE APOSENTADORIA AO MILITAR AOS 25 (VINTE E CINCO) ANOS DE SERVIÇO.";"";"SOLICITAÇÃO, PRONUNCIAMENTO, COMISSÃO DE SERVIÇO PUBLICO CIVIL, ELABORAÇÃO, PROJETO DE LEI, CONCESSÃO, APOSENTADORIA ESPECIAL, RESERVA REMUNERADA, FUNCIONARIO MILITAR, MILITAR.";"1974-12-01T00:00:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"";"";"1975-03-08T00:00:00";"4";"";"";"";"";"Ordinária (Art. 151, III, RICD)";"Não Informado";"5";"";"";"ARQUIVADO, NOS TERMOS DO ART 117 DO REGIMENTO. DC1S 08 03 75 PAG 0001 COL 01.";""
"159898";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/159898";"INC";"17";"1974";"133";"Indicação";"SUGERE A MANIFESTAÇÃO DA COMISSÃO DE CONSTITUIÇÃO E JUSTIÇA SOBRE A OPORTUNIDADE E CONVENIENCIA DA ELABORAÇÃO DE EMENDA CONSTITUCIONAL MODIFICADORA DO ARTIGO 99, A FIM DE INCLUIR O ODONTOLOGO ENTRE OS PROFISSIONAIS AOS QUAIS E PERMITIDA A ACUMULAÇÃO REMUNERADA DE DOIS CARGOS PUBLICOS.";"";"SUGESTÃO, MANIFESTAÇÃO, COMISSÃO DE CONSTITUIÇÃO E JUSTIÇA, CONVENIENCIA, ELABORAÇÃO, PROPOSTA, EMENDA CONSTITUCIONAL, INCLUSÃO, DENTISTA, CATEGORIA PROFISSIONAL, AUTORIZAÇÃO, ACUMULAÇÃO DE CARGOS, SERVIÇO PUBLICO.";"1974-12-01T00:00:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"";"";"1975-03-08T00:00:00";"4";"";"";"";"";"Ordinária (Art. 151, III, RICD)";"Não Informado";"5";"";"";"ARQUIVADO, NOS TERMOS DO ART 117 DO REGIMENTO. DC1S 08 03 75 PAG 0001 COL 01.";""
