"id";"uri";"siglaTipo";"numero";"ano";"codTipo";"descricaoTipo";"ementa";"ementaDetalhada";"keywords";"dataApresentacao";"uriOrgaoNumerador";"uriPropAnterior";"uriPropPrincipal";"uriPropPosterior";"urlInteiroTeor";"urnFinal";"ultimoStatus_dataHora";"ultimoStatus_sequencia";"ultimoStatus_uriRelator";"ultimoStatus_idOrgao";"ultimoStatus_siglaOrgao";"ultimoStatus_uriOrgao";"ultimoStatus_regime";"ultimoStatus_descricaoTramitacao";"ultimoStatus_idTipoTramitacao";"ultimoStatus_descricaoSituacao";"ultimoStatus_idSituacao";"ultimoStatus_despacho";"ultimoStatus_url"
"15641";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/15641";"PL";"602";"1983";"139";"Projeto de Lei";"INSTITUI, COMO CRIME DE USURA, A COBRANÇA DE JUROS E COMISSÕES SUPERIORES À TAXA DE 12% A.A. ACIMA DA CORREÇÃO MONETÁRIA E A EXIGÊNCIA DE SALDOS MÉDIOS OU SUJEIÇÃO A CONTRATOS DE OUTRA NATUREZA, PARA CONCESSÃO DE EMPRÉSTIMOS, MODIFICANDO O ARTIGO 4º, DA LEI Nº 1.521, DE 26 DE DEZEMBRO DE 1951.";"Aplica o § 3º do art.192 da Constituição Federal de 1988.";"Alteração, Lei dos Crimes contra a Economia Popular, definição, crime, agiotagem, cobrança, taxas, juros, comissões, dívida em dinheiro, percentual, correção monetária. exigência, saldo médio, mutuário, concessão, empréstimo, financiamento, instituição financeira, bancos, empresa de crédito.  
limitação, cobrança, juros, cominação, contrato de mutuo,  valor, prestações.
_ Fixação, pena de reclusão, multa, crime, agiotagem.";"1983-04-14T00:00:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=28883";"";"2009-04-16T00:00:00";"62";"https://dadosabertos.camara.leg.br/api/v2/deputados/74125";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"Ordinária (Art. 151, III, RICD)";"Arquivamento";"502";"Arquivada";"923";"Arquivado nos termos do § 4º do artigo 164 do RICD. DCD 17 04 09 PAG 13800 COL 02.";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=677861"
"16038";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/16038";"PL";"927";"1983";"139";"Projeto de Lei";"DISPÕE SOBRE A PARTICIPAÇÃO DO EMPREGADO NO LUCRO DA EMPRESA E DETERMINA OUTRAS PROVIDÊNCIAS.";"";"NORMAS, PARTICIPAÇÃO NOS LUCROS, EMPRESA, EMPREGADO.
DEFINIÇÃO, LUCRO, EMPRESA, FIXAÇÃO, DATA, PAGAMENTO, EMPREGADO,
EXCLUSÃO, DISPENSA, JUSTA CAUSA.
ISENÇÃO, IMPOSTOS, TAXAS, CONTRIBUIÇÃO PREVIDENCIARIA, INCIDENCIA,
IMPOSTO DE RENDA.
FISCALIZAÇÃO, SINDICATO, DISTRIBUIÇÃO, LUCRO, JULGAMENTO, JUSTIÇA DO
TRABALHO.
NORMAS, NEGOCIAÇÃO, EMPREGADOR, EMPREGADO, REDUÇÃO, JORNADA DE
TRABALHO, SALARIO, TRABALHADOR.
ISENÇÃO, EMPRESA, CONTRIBUIÇÃO, (PIS), OCORRENCIA, DISTRIBUIÇÃO,
LUCRO.";"1983-05-10T00:00:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/21286";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=42633";"";"2008-06-27T00:00:00";"27";"https://dadosabertos.camara.leg.br/api/v2/deputados/132137";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"Prioridade (Art. 151, II, RICD)";"Arquivamento";"502";"Arquivada";"923";"Arquivado nos termos do § 4º do artigo 164 do RICD. DCD 01 07 08 PAG 30178 COL 01.";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=619697"
"16195";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/16195";"PL";"1052";"1983";"139";"Projeto de Lei";"Dispõe sobre a distribuição de leite aos trabalhadores.";"";"Obrigatoriedade, empresa, fornecimento, leite, trabalhador, baixa renda, inclusão, despesa, Programa de  Alimentação do Trabalhador, incentivo fiscal,  imposto de renda.";"1983-05-16T00:00:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=52972";"";"2015-12-04T00:00:00";"86";"https://dadosabertos.camara.leg.br/api/v2/deputados/167722";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"Ordinária (Art. 151, III, RICD)";"Arquivamento";"502";"Arquivada";"923";"Arquivado";""
"16214";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/16214";"PL";"1069";"1983";"139";"Projeto de Lei";"Introduz alteração na Consolidação das Leis do Trabalho, para o fim de assegurar estabilidade provisória ao emprego que reclama, durante o prazo de tramitação da reclamatória";"Altera o Decreto-lei nº 5.452, de 1943.";"Alteração, Consolidação das Leis do Trabalho (CLT), garantia, estabilidade provisória, empregado, período, reclamação trabalhista, justiça do trabalho.";"1983-05-25T00:00:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=60475";"";"2012-07-04T00:00:00";"30";"https://dadosabertos.camara.leg.br/api/v2/deputados/74082";"180";"PLEN";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"Prioridade (Art. 151, II, RICD)";"Notificação de Despacho";"203";"Pronta para Pauta";"924";"Indeferido o REQ n. 5444/2012, conforme despacho do seguinte teor: ""Indefiro o Requerimento n. 5444/2012, nos termos do art. 142, do Regimento Interno da Câmara dos Deputados, por entender que não há correlação apta a justificar a apensação do PL n. 1069/1983 ao PL n. 120/2011. Publique-se. Oficie-se."".";""
"23438";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/23438";"EMS";"1052";"1983";"132";"Emenda/Substitutivo do Senado";"SUBSTITUTIVO DO SENADO AO PROJETO DE LEI DA CÂMARA Nº 150, DE 1993 (PL Nº 1.052-B, de 1983, na Casa de origem),  que ""dispõe sobre a distribuição de leite aos trabalhadores"".";"Altera a Lei Nº 6.321, de 1976.";"Alteração, lei federal, Programa de Alimentação do Trabalhador, empresa, fornecimento, leite, trabalhador, baixa renda, complementação, inexistência, natureza salarial.";"1983-12-30T00:00:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/16195";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=54561";"";"2000-10-10T00:00:00";"1";"";"";"";"";"Ordinária (Art. 151, III, RICD)";"Recebimento - Relator";"501";"";"";"RECEBIDA MANIFESTAÇÃO DO RELATOR";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=39487"
"147610";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/147610";"PRL";"1";"0";"190";"Parecer do Relator";"";"";"";"1983-08-17T15:10:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2003";"";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/16038";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=188169";"";"1983-08-17T15:10:00";"1";"";"";"";"";"";"Apresentação de Proposição";"100";"";"";"Apresentação do Parecer do Relator pelo Dep. PLINIO MARTINS";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=188169"
"147612";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/147612";"PAR";"1";"0";"187";"Parecer de Comissão";"";"";"";"1983-08-17T15:13:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2003";"";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/16038";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=188170";"";"1983-08-17T15:13:00";"1";"";"";"";"";"";"Apresentação de Proposição";"100";"";"";"Apresentação do Parecer de Comissão pela Comissão de Constituição e Justiça e de Redação";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=188170"
"152197";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/152197";"PRL";"1";"0";"190";"Parecer do Relator";"Parecer do Relator, Dep. BRABO DE CARVALHO, pela constitucionalidade, juridicidade e técnica legislativa, e, no mérito, pela aprovação.";"";"";"1983-10-04T10:56:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2003";"";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/15641";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=195723";"";"1983-10-04T10:56:00";"2";"";"";"";"";"";"Análise Parecer";"319";"";"";"Parecer do Relator, Dep. BRABO DE CARVALHO, pela constitucionalidade, juridicidade e técnica legislativa, e, no mérito, pela aprovação.";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=195723"
"159697";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/159697";"INC";"1";"1983";"133";"Indicação";"SUGERA A MANIFESTAÇÃO DA COMISSÃO DE CONSTITUIÇÃO E JUSTIÇA SOBRE A CONVENIENCIA DA INSTALAÇÃO DE SUBCOMISSÃO, COM A FINALIDADE DE PROMOVER ESTUDOS DE REVISÃO DA CONSTITUIÇÃO BRASILEIRA.";"";"SUGESTÃO, MANIFESTAÇÃO, COMISSÃO DE CONSTITUIÇÃO E JUSTIÇA, CONVENIENCIA, CRIAÇÃO, SUB COMISSÃO, ESTUDO, REFORMA CONSTITUCIONAL, CONSTITUIÇÃO FEDERAL.";"1983-03-23T00:00:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"";"";"1987-02-02T00:00:00";"9";"";"";"";"";"Ordinária (Art. 151, III, RICD)";"Não Informado";"5";"";"";"ARQUIVADO NOS TERMOS DO PARAGRAFO QUARTO DO ARTIGO 125 DO REGIMENTO INTERNO. DCN1 03 02 87 PAG 0152 COL 01.";""
"159714";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/159714";"INC";"2";"1983";"133";"Indicação";"SUGERE A MANIFESTAÇÃO DA COMISSÃO DE RELAÇÕES EXTERIORES SOBRE OS ACORDOS DO GOVERNO BRASILEIRO COM O FUNDO MONETARIO INTERNACIONAL.";"";"SUGESTÃO, MANIFESTAÇÃO, COMISSÃO DE RELAÇÕES EXTERIORES, ACORDO, (FMI), BANCO ESTRANGEIRO.";"1983-03-22T00:00:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"";"";"1983-09-14T00:00:00";"14";"";"";"";"";"Ordinária (Art. 151, III, RICD)";"Não Informado";"5";"";"";"TRANSFORMADA NO PROJETO DECRETO LEGISLATIVO 36/83.";""
