"id";"uri";"siglaTipo";"numero";"ano";"codTipo";"descricaoTipo";"ementa";"ementaDetalhada";"keywords";"dataApresentacao";"uriOrgaoNumerador";"uriPropAnterior";"uriPropPrincipal";"uriPropPosterior";"urlInteiroTeor";"urnFinal";"ultimoStatus_dataHora";"ultimoStatus_sequencia";"ultimoStatus_uriRelator";"ultimoStatus_idOrgao";"ultimoStatus_siglaOrgao";"ultimoStatus_uriOrgao";"ultimoStatus_regime";"ultimoStatus_descricaoTramitacao";"ultimoStatus_idTipoTramitacao";"ultimoStatus_descricaoSituacao";"ultimoStatus_idSituacao";"ultimoStatus_despacho";"ultimoStatus_url"
"162566";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/162566";"MSC";"16";"1946";"134";"Mensagem";"OFICIO 316, DE 26 DE OUTUBRO DO MINISTERIO DA FAZENDA, E EXPOSIÇÃO DE MOTIVOS 1945, DE 11 DO CORRENTE, DAQUELE MINISTRO, RELATIVA AO CODIGO ADUANEIRO.";"";"ENCAMINHAMENTO, OFICIO, EXPOSIÇÃO DE MOTIVOS, (MF), CODIGO, LEGISLAÇÃO ADUANEIRA.";"1946-10-26T00:00:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"";"";"1947-02-03T00:00:00";"3";"";"";"";"";"Ordinária (Art. 151, III, RICD)";"Não Informado";"5";"";"";"ARQUIVADO NOS TERMOS DO REGIMENTO INTERNO.";""
"169976";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/169976";"PL";"5";"1946";"139";"Projeto de Lei";"DISPÕE SOBRE A CONTRIBUIÇÃO DE MELHORIA PREVISTA NO ARTIGO 30 DA CONSTITUIÇÃO.";"";"NORMAS, CONTRIBUIÇÃO DE MELHORIA.";"1946-06-02T00:00:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"";"";"1947-06-02T00:00:00";"5";"";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"Ordinária (Art. 151, III, RICD)";"Não Informado";"5";"Arquivada";"923";"TRANSFORMADO NO PL 248/1947.";""
"172020";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/172020";"PL";"136";"1946";"139";"Projeto de Lei";"CRIA O INSTITUTO DE APOSENTADORIA E PENSÕES DOS AGRARIOS.";"";"CRIAÇÃO, CAIXA DE APOSENTADORIA, INSTITUTO DE PREVIDENCIA, TRABALHADOR RURAL, PRODUTOR RURAL.";"1946-11-15T00:00:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"";"";"1968-01-22T00:00:00";"22";"";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"Ordinária (Art. 151, III, RICD)";"Não Informado";"5";"Arquivada";"923";"REJEIÇÃO PELO SENADO FEDERAL. ARQUIVADO EM 23 01 68.";""
"172522";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/172522";"PL";"85";"1946";"139";"Projeto de Lei";"DISPÕE SOBRE PRORROGAÇÃO DE PRAZO NOS CONCURSOS EM ESTABELECIMENTOS OFICIAIS EQUIPARADOS.";"";"NORMAS, PRORROGAÇÃO, PRAZO, CONCURSO, ORGÃO PUBLICO.";"1946-10-31T00:00:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"";"";"1947-05-09T00:00:00";"6";"";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"Ordinária (Art. 151, III, RICD)";"Transformada em Nova Proposição";"469";"Transformado em nova proposição";"1230";"TRANSFORMADA NO PROJETO DE LEI Nº 168/47. DCN1 10 05 47 PAG 1585 COL 01.";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=841534"
"172965";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/172965";"PL";"196";"1946";"139";"Projeto de Lei";"ASSEGURA AOS MEDICOS SANITARISTAS, NA CHEFIA OU DIREÇÃO DE ORGÃOS DE SAUDE PUBLICA NOS ESTADOS, O DIREITO DE OPTAR PELOS VENCIMENTOS DO CARGO FEDERAL.";"";"GARANTIA, MEDICO SANITARISTA, CHEFIA, DIREÇÃO, ÓRGÃOS, SAUDE PUBLICA, ESTADO, OPÇÃO, VENCIMENTOS, CARGO, UNIÃO FEDERAL.";"1946-04-11T00:00:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"";"";"1948-12-31T00:00:00";"6";"";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"Ordinária (Art. 151, III, RICD)";"Arquivamento";"502";"Transformado em nova proposição";"1230";"ARQUIVADA.";""
"173013";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/173013";"PL";"199";"1946";"139";"Projeto de Lei";"CONCEDE ISENÇÃO DE DIREITO DE IMPORTAÇÃO E DEMAIS TAXAS ADUANEIRAS PARA 12 LOCOMOTIVAS ELETRICAS E OUTROS MATERIAIS, ENCOMENDADOS PELA COMPANHIA PAULISTA DE ESTRADAS DE FERRO.";"";"CONCESSÃO, ISENÇÃO, DIREITOS, IMPORTAÇÃO, TAXA ADUANEIRA, LOCOMOTIVA, EMPRESA, FERROVIA, SÃO PAULO (ESTADO).";"1946-12-04T00:00:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"";"";"1951-11-16T00:00:00";"3";"";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"Ordinária (Art. 151, III, RICD)";"Transformação em Norma Jurídica";"251";"Transformado em Norma Jurídica";"1140";"TRANSFORMADO NA LEI 1469-A/51.";""
"174435";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/174435";"PL";"287";"1946";"139";"Projeto de Lei";"ISENTA DE IMPOSTOS DE IMPORTAÇÃO E DE CONSUMO A PENICILINA INJETAVEL.";"CONVOCAÇÃO - JANEIRO DE 1947).";"ISENÇÃO, IMPOSTO DE IMPORTAÇÃO, IMPOSTO DE CONSUMO, MEDICAMENTOS.";"1946-01-28T00:00:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"";"";"1957-09-06T00:00:00";"3";"";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"Ordinária (Art. 151, III, RICD)";"Transformação em Norma Jurídica";"251";"Transformado em Norma Jurídica";"1140";"TRANSFORMADO NA LEI 3259/57. DOFC 10 09 47.";""
"174669";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/174669";"PL";"302";"1946";"139";"Projeto de Lei";"REGULAMENTA A PROFISSÃO DE DESPACHANTE OFICIAL JUNTO AS REPARTIÇÕES PUBLICAS DO PAIS.";"";"REGULAMENTAÇÃO, PROFISSÃO, DESPACHANTE, REPARTIÇÃO PUBLICA.";"1946-03-01T00:00:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"";"";"1950-03-01T00:00:00";"4";"";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"Ordinária (Art. 151, III, RICD)";"Não Informado";"5";"Arquivada";"923";"ARQUIVADO NOS TERMOS DO REGIMENTO INTERNO.";""
"461805";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/461805";"PRC";"2";"1946";"141";"Projeto de Resolução";"Altera dispositivos do Regimento Interno na parte referente ao Orçamento.";"";"Alteração, Regimento Interno da Câmara dos Deputados, prazo, recebimento, emenda, Orçamento, apresentação, parecer, Comissão de Finanças, discussão, votação, redação final.";"1946-10-07T14:41:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"";"";"1946-10-07T00:00:00";"2";"";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"Ordinária (Art. 151, III, RICD)";"Não Informado";"5";"Arquivada";"923";"AGUARDANDO COMPLEMENTAÇÃO DA TRAMITAÇÃO.";""
"463009";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/463009";"PRC";"1";"1946";"141";"Projeto de Resolução";"DISPÕE SÔBRE A VIGÊNCIA DO REGIMENTO INTERNO, DA CÂMARA DOS DEPUTADOS.";"";"Vigência, Regimento Interno da Câmara dos Deputados, alteração, organização, comissão permanente, distribuição, partido político.";"1946-09-30T15:29:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"";"";"1946-09-30T00:00:00";"2";"";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"Ordinária (Art. 151, III, RICD)";"Não Informado";"5";"Arquivada";"923";"AGUARDANDO COMPLEMENTAÇÃO DA TRAMITAÇÃO.";""
