"id";"uri";"siglaTipo";"numero";"ano";"codTipo";"descricaoTipo";"ementa";"ementaDetalhada";"keywords";"dataApresentacao";"uriOrgaoNumerador";"uriPropAnterior";"uriPropPrincipal";"uriPropPosterior";"urlInteiroTeor";"urnFinal";"ultimoStatus_dataHora";"ultimoStatus_sequencia";"ultimoStatus_uriRelator";"ultimoStatus_idOrgao";"ultimoStatus_siglaOrgao";"ultimoStatus_uriOrgao";"ultimoStatus_regime";"ultimoStatus_descricaoTramitacao";"ultimoStatus_idTipoTramitacao";"ultimoStatus_descricaoSituacao";"ultimoStatus_idSituacao";"ultimoStatus_despacho";"ultimoStatus_url"
"13534";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13534";"PDC";"101";"1985";"135";"Projeto de Decreto Legislativo";"Dispõe sobre o pecúlio parlamentar";"";"NORMAS, PAGAMENTO, PECULIO, (IPC), DESCONTO, DIARIAS, MEMBROS, 
CONGRESSO NACIONAL, BENEFICIO, DEPUTADO FEDERAL, 
SENADOR, EXERCICIO, MANDATO ELETIVO, AFASTAMENTO, SUSPENSÃO, 
INVALIDEZ, ALIENAÇÃO MENTAL, DOENÇA INFECTO CONTAGIOSA. 
NORMAS, EX CONGRESSISTA, PENSIONISTA, (IPC), PARTICIPAÇÃO,
PECULIO, MORTE, FAVORECIMENTO, BENEFICIARIO, GOZO, PENSÃO
PREVIDENCIARIA.";"1985-05-13T00:00:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=61561";"";"1994-05-23T00:00:00";"31";"https://dadosabertos.camara.leg.br/api/v2/deputados/74429";"180";"PLEN";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"Prioridade (Art. 151, II, RICD)";"Leitura e publicação do Parecer";"330";"Pronta para Pauta";"924";"LEITURA E PUBLICAÇÃO DOS PARECERES DA CSSF, CFT E CCJR.
PRONTO PARA A ORDEM DO DIA. PDC 101-A/85
DCN1 31 05 94 PAG 8533 COL 01.
REP: DCD 25 02 97 PAG 4899 COL 01.";""
"21248";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/21248";"PL";"5724";"1985";"139";"Projeto de Lei";"Acrescenta uma alínea ao art. 7º da Consolidação das Leis do Trabalho, para explicitar a exclusão dos profissionais liberais ou autônomos que prestam serviços especializados mediante contrato escrito";"Altera o Decreto-lei nº 5.452, de 1943.";"Alteração, Consolidação das Leis do Trabalho (CLT), normas, exclusão, profissional liberal, trabalhador autônomo, inscrição, associação de classe, proteção, prestação de serviço, contrato de trabalho, contrato escrito.";"1985-06-05T00:00:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=47452";"";"2001-08-30T00:00:00";"29";"https://dadosabertos.camara.leg.br/api/v2/deputados/74782";"180";"PLEN";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"Ordinária (Art. 151, III, RICD)";"Notificação de Apensação";"504";"Pronta para Pauta";"924";"Apense-se a esta o PL-5232/2001.(DESPACHO INICIAL)";""
"21262";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/21262";"PL";"5947";"1985";"139";"Projeto de Lei";"Restabelece princípios da Política Nacional de Informática estatuídos pelo Projeto de Lei nº 10, de 1984-CN, parcialmente vetado pelo Poder Executivo, ao promulgar a Lei nº 7.232, de 29 de outubro de 1984.";"Dispoõe sobre normas para o controle de fluxo de dados transfronteiras, concessão de canais e meios de transmissão de dados para ligação a banco de dados e redes no exterior, a análise e decisão sobre os projetos de desenvolvimento e produção de  bens de informática, sua comercialização e o incentivo a empresas.";"Alteração, Lei de Política Nacional de Informática, fixação, requisitos, computador, processamento de dados, Plano Nacional de Informática, exploração, banco de dados, exterior, território nacional.  
_Competencia, executivo, fixação, requisitos, limitação, comercialização, informatica, mercado interno, bens, serviço, produção nacional, ocorrencia, criação, monopolio, beneficio fiscal.  
_Obrigatoriedade, aprovação, orgãos, representação classista, empregador, empregado, exame, introdução, tecnologia, instalação, unidade, industria, processamento eletronico, preservação, emprego, mão-de-obra.  
_Obrigatoriedade, empresa, incentivo fiscal, investimento, pesquisa, tecnologia, regulamentação, (CONIN).  
_Normas, importação, equipamentos, informatica.  
_Normas, acesso, informação, arquivo, dados pessoais, banco de dados, registro, (SEI), infração, pena de demissão, servidor.  
_Autorização, executivo, destinação, parcela, orçamento, Fundo Especial de Informatica e Automação, multa, cassação, empresa.";"1985-08-01T00:00:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=29084";"";"2008-04-14T00:00:00";"45";"https://dadosabertos.camara.leg.br/api/v2/deputados/74230";"2003";"CCJC";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2003";"Prioridade (Art. 151, II, RICD)";"Parecer do Relator";"322";"Aguardando Designação de Relator";"907";"Parecer do Relator, Dep. Colbert Martins (PMDB-BA), pela constitucionalidade, juridicidade e técnica legislativa.";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=553658"
"21285";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/21285";"PL";"6183";"1985";"139";"Projeto de Lei";"Disciplina a formação de banco de dados pessoais e respectivo uso das informações cadastradas.";"";"Normas, formação, banco de dados, dados pessoais, informação, cadastro, processamento de dados, informática.";"1985-09-02T00:00:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=81578";"";"2009-12-22T00:00:00";"24";"https://dadosabertos.camara.leg.br/api/v2/deputados/133890";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"Urgência (Art. 155, RICD)";"Recebimento";"500";"Arquivada";"923";"Recebimento do Ofício nº 3.168/09 (SF) comunicando o arquivamento da matéria.";""
"21286";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/21286";"PL";"6245";"1985";"139";"Projeto de Lei";"Dispõe sobre a participação do trabalhador no lucro da empresa";"DENOMINANDO GRATIFICAÇÃO DE BALANÇO A DISTRIBUIÇÃO DO LUCRO DA
EMPRESA).";"NORMAS, PARTICIPAÇÃO NOS LUCROS, EMPRESA, EMPREGADO, GRATIFICAÇÃO,
BALANÇO.
FIXAÇÃO, CRITERIOS, DISTRIBUIÇÃO, LUCRO, EMPREGADO.";"1985-08-29T00:00:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/20976";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=42627";"";"2008-06-27T00:00:00";"25";"https://dadosabertos.camara.leg.br/api/v2/deputados/1504";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"Prioridade (Art. 151, II, RICD)";"Arquivamento";"502";"Arquivada";"923";"Arquivado nos termos do § 4º do artigo 164 do RICD. DCD 01 07 08 PAG 30178 COL 01.";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=619699"
"21287";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/21287";"PL";"6350";"1985";"139";"Projeto de Lei";"Acrescenta dispositivo ao art. 483 da Consolidação das Leis do Trabalho (CLT) e dá outras providências";"Dispõe sobre rescisão do contrato de trabalho e indenização do empregado quando o empregador o incumbir de transporte de valores da empresa sem que tal atribuição conste do contrato. 
Altera o Decreto-lei nº 5.452, de 1943.";"Alteração, Consolidação das Leis do Trabalho (CLT), definição, direitos, empregado, rescisão, contrato de trabalho, indenização, ocorrência, empregador, exigência, transporte de valores, inexistência, obrigação, contrato.";"1985-09-18T00:00:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=15823";"";"1994-11-23T00:00:00";"28";"https://dadosabertos.camara.leg.br/api/v2/deputados/133918";"180";"PLEN";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"Prioridade (Art. 151, II, RICD)";"Adiamento de Discussão";"221";"Pronta para Pauta";"924";"ADIADA A DISCUSSÃO POR FALTA DE QUORUM.";""
"21288";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/21288";"PL";"6664";"1985";"139";"Projeto de Lei";"Introduz modificações na Consolidação das Leis do Trabalho, na parte que disciplina a jornada de trabalho.";"Altera o Decreto-lei nº 5.452, de 1943.";"Alteração, Consolidação das Leis do Trabalho (CLT), obrigatoriedade, fixação, valor, remuneração, suplementação, hora extra, contrato coletivo de trabalho, normas, excesso, horário, força maior, prorrogação, jornada de trabalho, remuneração, acréscimo, percentual, horário de trabalho.";"1985-10-29T00:00:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=15822";"";"1997-11-26T00:00:00";"41";"https://dadosabertos.camara.leg.br/api/v2/deputados/74233";"180";"PLEN";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"Prioridade (Art. 151, II, RICD)";"Leitura e publicação do Parecer";"330";"Pronta para Pauta";"924";"LEITURA E PUBLICAÇÃO DOS PARECERES DA CCJR, CTASP E CFT
AO PROJETO E AS EMENDAS DE PLENARIO.
PRONTO PARA A ORDEM DO DIA.  PL. 6664-B/85.
DCD 04 02 98 PAG 2874 COL 01.";""
"21289";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/21289";"PL";"6763";"1985";"139";"Projeto de Lei";"Proíbe o transporte de presidiários em transporte coletivo.";"";"Proibição, utilização, transporte coletivo, passageiro, transporte, condenado, preso, infração, autoridade policial, militar, autoridade judiciária, pena de reclusão, multa.";"1985-10-31T00:00:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=36867";"";"1996-04-02T00:00:00";"37";"https://dadosabertos.camara.leg.br/api/v2/deputados/73900";"180";"PLEN";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"Prioridade (Art. 151, II, RICD)";"Leitura e publicação do Parecer";"330";"Pronta para Pauta";"924";"LEITURA E PUBLICAÇÃO DO PARECERES DA CVT, CDN E CCJR AO
SUBSTITUTIVO DO SENADO.
PRONTO PARA A ORDEM DO DIA.  PL.6763-D/85.
DCD 04 04 96 PAG 8826 COL 01.";""
"23515";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/23515";"EMS";"6763";"1985";"132";"Emenda/Substitutivo do Senado";"Substitutivo do Senado ao Projeto de Lei da Câmara nº 52, de 1990 (PL nº 6.763, de 1985, na Casa de origem), que ""Proíbe o transporte de presos condenados ou à disposição da Justiça em transporte coletivo"".";"";"Proibição, utilização, transporte coletivo, passageiro, locomoção, condenado, preso, exceção, comprovação, necessidade, despacho,  Juiz,  pena de reclusão, multa, autoridade, infrator.";"1985-12-30T00:00:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/21289";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=72402";"";"1985-12-30T00:00:00";"1";"";"";"";"";"Prioridade (Art. 151, II, RICD)";"Apresentação de Proposição";"100";"";"";"Apresentação da Emenda/Substitutivo do Senado pelo Senado Federal";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=72402"
"25731";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/25731";"PL";"6731";"1985";"139";"Projeto de Lei";"Altera o item I do art. 3º do Decreto - lei nº 1.422 , de 23 de outubro de 1975 , que "" dispõe sobre o salário - educação """;"ISENTANDO DO RECOLHIMENTO DO SALARIO-EDUCAÇÃO AS EMPRESAS QUE
MANTENHAM PROGRAMAS DE BOLSA DE ESTUDO PARA QUAISQUER ADULTOS OU
CRIANÇAS CARENTES DE RECURSOS).";"NORMAS, CONCESSÃO, ISENÇÃO, RECOLHIMENTO, SALARIO EDUCAÇÃO, EMPRESA,
RESPONSAVEL, ESTABELECIMENTO DE ENSINO, PRIMEIRO GRAU, BOLSA DE
ESTUDO, EMPREGADO, FILHO, MEMBROS, COMUNIDADE, POPULAÇÃO CARENTE.";"1985-10-29T00:00:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=52918";"";"1999-03-22T00:00:00";"17";"https://dadosabertos.camara.leg.br/api/v2/deputados/139292";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"Prioridade (Art. 151, II, RICD)";"Arquivamento";"502";"Arquivada";"923";"ARQUIVADO, NOS TERMOS DO ARTIGO 164, PARAGRAFO QUARTO DO RI.";""
